beta,tau,tv_mean,tv_max,perm_mean,perm_max,gap,incompleteness_mean,incompleteness_max,auth_gap_width
0.44,0.1633,0.223061,0.333843,REFUSE,REFUSE,0,0.059745,0.170527,0.110782
0.44,0.1658,0.223061,0.333843,REFUSE,REFUSE,0,0.057232,0.168014,0.110782
0.44,0.1683,0.223061,0.333843,REFUSE,REFUSE,0,0.05472,0.165502,0.110782
0.44,0.1709,0.223061,0.333843,REFUSE,REFUSE,0,0.052207,0.162989,0.110782
0.44,0.1734,0.223061,0.333843,REFUSE,REFUSE,0,0.049694,0.160476,0.110782
0.44,0.1759,0.223061,0.333843,REFUSE,REFUSE,0,0.047182,0.157964,0.110782
0.44,0.1784,0.223061,0.333843,REFUSE,REFUSE,0,0.044669,0.155451,0.110782
0.44,0.1809,0.223061,0.333843,REFUSE,REFUSE,0,0.042157,0.152939,0.110782
0.44,0.1834,0.223061,0.333843,REFUSE,REFUSE,0,0.039644,0.150426,0.110782
0.44,0.1859,0.223061,0.333843,REFUSE,REFUSE,0,0.037132,0.147914,0.110782
0.44,0.1884,0.223061,0.333843,REFUSE,REFUSE,0,0.034619,0.145401,0.110782
0.44,0.191,0.223061,0.333843,REFUSE,REFUSE,0,0.032106,0.142888,0.110782
0.44,0.1935,0.223061,0.333843,REFUSE,REFUSE,0,0.029594,0.140376,0.110782
0.44,0.196,0.223061,0.333843,REFUSE,REFUSE,0,0.027081,0.137863,0.110782
0.44,0.1985,0.223061,0.333843,REFUSE,REFUSE,0,0.024569,0.135351,0.110782
0.44,0.201,0.223061,0.333843,REFUSE,REFUSE,0,0.022056,0.132838,0.110782
0.44,0.2035,0.223061,0.333843,REFUSE,REFUSE,0,0.019544,0.130326,0.110782
0.44,0.206,0.223061,0.333843,REFUSE,REFUSE,0,0.017031,0.127813,0.110782
0.44,0.2085,0.223061,0.333843,REFUSE,REFUSE,0,0.014519,0.125301,0.110782
0.44,0.2111,0.223061,0.333843,REFUSE,REFUSE,0,0.012006,0.122788,0.110782
0.44,0.2136,0.223061,0.333843,REFUSE,REFUSE,0,0.009493,0.120275,0.110782
0.44,0.2161,0.223061,0.333843,REFUSE,REFUSE,0,0.006981,0.117763,0.110782
0.44,0.2186,0.223061,0.333843,REFUSE,REFUSE,0,0.004468,0.11525,0.110782
0.44,0.2211,0.223061,0.333843,REFUSE,REFUSE,0,0.001956,0.112738,0.110782
0.44,0.2236,0.223061,0.333843,ACT,REFUSE,1,0.0,0.110225,0.110782
0.44,0.2261,0.223061,0.333843,ACT,REFUSE,1,0.0,0.107713,0.110782
0.44,0.2286,0.223061,0.333843,ACT,REFUSE,1,0.0,0.1052,0.110782
0.44,0.2312,0.223061,0.333843,ACT,REFUSE,1,0.0,0.102687,0.110782
0.44,0.2337,0.223061,0.333843,ACT,REFUSE,1,0.0,0.100175,0.110782
0.44,0.2362,0.223061,0.333843,ACT,REFUSE,1,0.0,0.097662,0.110782
0.44,0.2387,0.223061,0.333843,ACT,REFUSE,1,0.0,0.09515,0.110782
0.44,0.2412,0.223061,0.333843,ACT,REFUSE,1,0.0,0.092637,0.110782
0.44,0.2437,0.223061,0.333843,ACT,REFUSE,1,0.0,0.090125,0.110782
0.44,0.2462,0.223061,0.333843,ACT,REFUSE,1,0.0,0.087612,0.110782
0.44,0.2487,0.223061,0.333843,ACT,REFUSE,1,0.0,0.0851,0.110782
0.44,0.2513,0.223061,0.333843,ACT,REFUSE,1,0.0,0.082587,0.110782
0.44,0.2538,0.223061,0.333843,ACT,REFUSE,1,0.0,0.080074,0.110782
0.44,0.2563,0.223061,0.333843,ACT,REFUSE,1,0.0,0.077562,0.110782
0.44,0.2588,0.223061,0.333843,ACT,REFUSE,1,0.0,0.075049,0.110782
0.44,0.2613,0.223061,0.333843,ACT,REFUSE,1,0.0,0.072537,0.110782
0.44,0.2638,0.223061,0.333843,ACT,REFUSE,1,0.0,0.070024,0.110782
0.44,0.2663,0.223061,0.333843,ACT,REFUSE,1,0.0,0.067512,0.110782
0.44,0.2688,0.223061,0.333843,ACT,REFUSE,1,0.0,0.064999,0.110782
0.44,0.2714,0.223061,0.333843,ACT,REFUSE,1,0.0,0.062486,0.110782
0.44,0.2739,0.223061,0.333843,ACT,REFUSE,1,0.0,0.059974,0.110782
0.44,0.2764,0.223061,0.333843,ACT,REFUSE,1,0.0,0.057461,0.110782
0.44,0.2789,0.223061,0.333843,ACT,REFUSE,1,0.0,0.054949,0.110782
0.44,0.2814,0.223061,0.333843,ACT,REFUSE,1,0.0,0.052436,0.110782
0.44,0.2839,0.223061,0.333843,ACT,REFUSE,1,0.0,0.049924,0.110782
0.44,0.2864,0.223061,0.333843,ACT,REFUSE,1,0.0,0.047411,0.110782
0.44,0.2889,0.223061,0.333843,ACT,REFUSE,1,0.0,0.044899,0.110782
0.44,0.2915,0.223061,0.333843,ACT,REFUSE,1,0.0,0.042386,0.110782
0.44,0.294,0.223061,0.333843,ACT,REFUSE,1,0.0,0.039873,0.110782
0.44,0.2965,0.223061,0.333843,ACT,REFUSE,1,0.0,0.037361,0.110782
0.44,0.299,0.223061,0.333843,ACT,REFUSE,1,0.0,0.034848,0.110782
0.44,0.3015,0.223061,0.333843,ACT,REFUSE,1,0.0,0.032336,0.110782
0.44,0.304,0.223061,0.333843,ACT,REFUSE,1,0.0,0.029823,0.110782
0.44,0.3065,0.223061,0.333843,ACT,REFUSE,1,0.0,0.027311,0.110782
0.44,0.309,0.223061,0.333843,ACT,REFUSE,1,0.0,0.024798,0.110782
0.44,0.3116,0.223061,0.333843,ACT,REFUSE,1,0.0,0.022285,0.110782
0.44,0.3141,0.223061,0.333843,ACT,REFUSE,1,0.0,0.019773,0.110782
0.44,0.3166,0.223061,0.333843,ACT,REFUSE,1,0.0,0.01726,0.110782
0.44,0.3191,0.223061,0.333843,ACT,REFUSE,1,0.0,0.014748,0.110782
0.44,0.3216,0.223061,0.333843,ACT,REFUSE,1,0.0,0.012235,0.110782
0.44,0.3241,0.223061,0.333843,ACT,REFUSE,1,0.0,0.009723,0.110782
0.44,0.3266,0.223061,0.333843,ACT,REFUSE,1,0.0,0.00721,0.110782
0.44,0.3291,0.223061,0.333843,ACT,REFUSE,1,0.0,0.004698,0.110782
0.44,0.3317,0.223061,0.333843,ACT,REFUSE,1,0.0,0.002185,0.110782
0.44,0.3342,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.3367,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.3392,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.3417,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.3442,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.3467,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.3492,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.3518,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
0.44,0.3543,0.223061,0.333843,ACT,ACT,0,0.0,0.0,0.110782
