path,case_id,family,step_idx,level,admissible,k,perm_m,C_mn,A_e_perm,A_e,gap,sound,monotone_step,monotone_k
A_canonical,S-DIA,synthetic_ladder,0,5,0,8,DIA,0.25,DIA,0.25,0.0,1,1,1
A_canonical,S-DIA,synthetic_ladder,0,5,0,16,DIA,0.25,DIA,0.25,0.0,1,1,1
A_canonical,S-DIA,synthetic_ladder,0,5,0,32,DIA,0.25,DIA,0.25,0.0,1,1,1
A_canonical,S-DIA,synthetic_ladder,0,5,0,64,DIA,0.25,DIA,0.25,0.0,1,1,1
A_canonical,S-REV,synthetic_ladder,0,5,0,4,AEX,0.75,REV,0.5,-0.25,0,1,1
A_canonical,S-REV,synthetic_ladder,0,5,0,8,AEX,0.75,REV,0.5,-0.25,0,1,1
A_canonical,S-REV,synthetic_ladder,0,5,0,16,AEX,0.75,REV,0.5,-0.25,0,1,1
A_canonical,S-REV,synthetic_ladder,0,5,0,32,AEX,0.75,REV,0.5,-0.25,0,1,1
A_canonical,S-REV,synthetic_ladder,0,5,0,64,AEX,0.75,REV,0.5,-0.25,0,1,1
A_canonical,S-AEX,synthetic_ladder,0,5,0,4,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,S-AEX,synthetic_ladder,0,5,0,8,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,S-AEX,synthetic_ladder,0,5,0,16,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,S-AEX,synthetic_ladder,0,5,0,32,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,S-AEX,synthetic_ladder,0,5,0,64,AEX,0.75,AEX,0.75,0.0,1,1,1
A_canonical,S-ALR,synthetic_ladder,0,5,0,4,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,S-ALR,synthetic_ladder,0,5,0,8,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,S-ALR,synthetic_ladder,0,5,0,16,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,S-ALR,synthetic_ladder,0,5,0,32,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,S-ALR,synthetic_ladder,0,5,0,64,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,W-currency,active_witness,0,5,0,4,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,W-currency,active_witness,0,5,0,8,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,W-currency,active_witness,0,5,0,16,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,W-currency,active_witness,0,5,0,32,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,W-currency,active_witness,0,5,0,64,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,W-deployment,active_witness,0,5,0,4,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,W-deployment,active_witness,0,5,0,8,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,W-deployment,active_witness,0,5,0,16,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,W-deployment,active_witness,0,5,0,32,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,W-deployment,active_witness,0,5,0,64,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,W-population,active_witness,0,5,0,4,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,W-population,active_witness,0,5,0,8,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,W-population,active_witness,0,5,0,16,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,W-population,active_witness,0,5,0,32,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,W-population,active_witness,0,5,0,64,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,W-clinical,active_witness,0,5,0,4,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,W-clinical,active_witness,0,5,0,8,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,W-clinical,active_witness,0,5,0,16,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,W-clinical,active_witness,0,5,0,32,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,W-clinical,active_witness,0,5,0,64,ALR,1.0,ALR,1.0,0.0,1,1,1
A_canonical,M01,induction,1,4,1,4,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M01,induction,1,4,1,8,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M01,induction,1,4,1,16,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M01,induction,1,4,1,32,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M01,induction,1,4,1,64,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M02,induction,1,4,1,4,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M02,induction,1,4,1,8,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M02,induction,1,4,1,16,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M02,induction,1,4,1,32,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M02,induction,1,4,1,64,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M03,induction,1,4,1,4,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M03,induction,1,4,1,8,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M03,induction,1,4,1,16,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M03,induction,1,4,1,32,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M03,induction,1,4,1,64,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M04,induction,1,4,1,4,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M04,induction,1,4,1,8,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M04,induction,1,4,1,16,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M04,induction,1,4,1,32,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M04,induction,1,4,1,64,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M05,induction,1,4,1,4,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M05,induction,1,4,1,8,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M05,induction,1,4,1,16,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M05,induction,1,4,1,32,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M05,induction,1,4,1,64,REV,0.5,AEX,0.75,0.25,1,0,1
A_canonical,M06,induction,1,4,1,4,REV,0.5,AEX,0.75,0.25,1,0,1
