L0_fiber,n_worlds_L0,level,enlarged_key,enlarged_fiber_size,p_hat_mean,A_e,honest_compiler,naive_coarse,cost_loss,DRO,Ae_monotone_along_ladder,manufactured_at_L3,cl_strengthens_L0_to_L3,dro_matches_Ae_at_L0,statuses
"(3.0, 'advective', 'hardy')",434,L0,"(3.0, 'advective', 'hardy')",434,0.0001,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(3.0, 'advective', 'hardy')",434,L1,"(2.0, 'advective', 'hardy')",1607,0.0015,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(3.0, 'advective', 'hardy')",434,L2,"(2.0, 'advective-hardy')",1607,0.0015,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(3.0, 'advective', 'hardy')",434,L3,"(2.0,)",7906,0.0015,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-8.0, 'advective', 'vulnerable')",87,L0,"(-8.0, 'advective', 'vulnerable')",87,0.9966,REV,AEX,AEX,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-8.0, 'advective', 'vulnerable')",87,L1,"(-8.0, 'advective', 'vulnerable')",184,0.9934,REV,AEX,AEX,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-8.0, 'advective', 'vulnerable')",87,L2,"(-8.0, 'advective-vulnerable')",184,0.9934,REV,AEX,AEX,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-8.0, 'advective', 'vulnerable')",87,L3,"(-8.0,)",733,0.9938,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-3.0, 'advective', 'hardy')",1081,L0,"(-3.0, 'advective', 'hardy')",1081,0.4059,REV,ALR,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-3.0, 'advective', 'hardy')",1081,L1,"(-2.0, 'advective', 'hardy')",2803,0.211,REV,ALR,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-3.0, 'advective', 'hardy')",1081,L2,"(-2.0, 'advective-hardy')",2803,0.211,REV,ALR,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-3.0, 'advective', 'hardy')",1081,L3,"(-2.0,)",13871,0.2107,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-6.0, 'radiative', 'vulnerable')",419,L0,"(-6.0, 'radiative', 'vulnerable')",419,0.9355,REV,REV,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(-6.0, 'radiative', 'vulnerable')",419,L1,"(-6.0, 'radiative', 'vulnerable')",900,0.9154,REV,REV,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(-6.0, 'radiative', 'vulnerable')",419,L2,"(-6.0, 'radiative-vulnerable')",900,0.9154,REV,REV,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(-6.0, 'radiative', 'vulnerable')",419,L3,"(-6.0,)",2839,0.9149,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(3.0, 'radiative', 'hardy')",509,L0,"(3.0, 'radiative', 'hardy')",509,0.0001,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(3.0, 'radiative', 'hardy')",509,L1,"(2.0, 'radiative', 'hardy')",1932,0.0015,REV,AEX,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(3.0, 'radiative', 'hardy')",509,L2,"(2.0, 'radiative-hardy')",1932,0.0015,REV,AEX,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(3.0, 'radiative', 'hardy')",509,L3,"(2.0,)",7906,0.0015,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-1.0, 'radiative', 'hardy')",1936,L0,"(-1.0, 'radiative', 'hardy')",1936,0.0805,REV,AEX,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-1.0, 'radiative', 'hardy')",1936,L1,"(0.0, 'radiative', 'hardy')",3670,0.0299,REV,AEX,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-1.0, 'radiative', 'hardy')",1936,L2,"(0.0, 'radiative-hardy')",3670,0.0299,REV,AEX,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-1.0, 'radiative', 'hardy')",1936,L3,"(0.0,)",14592,0.0296,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(0.0, 'radiative', 'vulnerable')",2282,L0,"(0.0, 'radiative', 'vulnerable')",2282,0.0239,REV,REV,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(0.0, 'radiative', 'vulnerable')",2282,L1,"(0.0, 'radiative', 'vulnerable')",4362,0.0291,REV,REV,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(0.0, 'radiative', 'vulnerable')",2282,L2,"(0.0, 'radiative-vulnerable')",4362,0.0291,REV,REV,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(0.0, 'radiative', 'vulnerable')",2282,L3,"(0.0,)",14592,0.0296,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-6.0, 'radiative', 'hardy')",299,L0,"(-6.0, 'radiative', 'hardy')",299,0.9344,REV,AEX,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-6.0, 'radiative', 'hardy')",299,L1,"(-6.0, 'radiative', 'hardy')",669,0.9174,REV,AEX,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-6.0, 'radiative', 'hardy')",299,L2,"(-6.0, 'radiative-hardy')",669,0.9174,REV,AEX,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-6.0, 'radiative', 'hardy')",299,L3,"(-6.0,)",2839,0.9149,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-5.0, 'advective', 'hardy')",511,L0,"(-5.0, 'advective', 'hardy')",511,0.8246,REV,ALR,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-5.0, 'advective', 'hardy')",511,L1,"(-4.0, 'advective', 'hardy')",1547,0.6127,REV,ALR,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-5.0, 'advective', 'hardy')",511,L2,"(-4.0, 'advective-hardy')",1547,0.6127,REV,ALR,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-5.0, 'advective', 'hardy')",511,L3,"(-4.0,)",7606,0.6099,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-4.0, 'radiative', 'vulnerable')",1146,L0,"(-4.0, 'radiative', 'vulnerable')",1146,0.635,REV,REV,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(-4.0, 'radiative', 'vulnerable')",1146,L1,"(-4.0, 'radiative', 'vulnerable')",2277,0.6111,REV,REV,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(-4.0, 'radiative', 'vulnerable')",1146,L2,"(-4.0, 'radiative-vulnerable')",2277,0.6111,REV,REV,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(-4.0, 'radiative', 'vulnerable')",1146,L3,"(-4.0,)",7606,0.6099,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(3.0, 'radiative', 'vulnerable')",620,L0,"(3.0, 'radiative', 'vulnerable')",620,0.0001,REV,AEX,AEX,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(3.0, 'radiative', 'vulnerable')",620,L1,"(2.0, 'radiative', 'vulnerable')",2416,0.0015,REV,REV,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(3.0, 'radiative', 'vulnerable')",620,L2,"(2.0, 'radiative-vulnerable')",2416,0.0015,REV,REV,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(3.0, 'radiative', 'vulnerable')",620,L3,"(2.0,)",7906,0.0015,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(1.0, 'radiative', 'vulnerable')",1815,L0,"(1.0, 'radiative', 'vulnerable')",1815,0.0053,REV,REV,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(1.0, 'radiative', 'vulnerable')",1815,L1,"(2.0, 'radiative', 'vulnerable')",2416,0.0015,REV,REV,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(1.0, 'radiative', 'vulnerable')",1815,L2,"(2.0, 'radiative-vulnerable')",2416,0.0015,REV,REV,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(1.0, 'radiative', 'vulnerable')",1815,L3,"(2.0,)",7906,0.0015,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(2.0, 'radiative', 'vulnerable')",1209,L0,"(2.0, 'radiative', 'vulnerable')",1209,0.0009,REV,REV,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(2.0, 'radiative', 'vulnerable')",1209,L1,"(2.0, 'radiative', 'vulnerable')",2416,0.0015,REV,REV,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(2.0, 'radiative', 'vulnerable')",1209,L2,"(2.0, 'radiative-vulnerable')",2416,0.0015,REV,REV,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(2.0, 'radiative', 'vulnerable')",1209,L3,"(2.0,)",7906,0.0015,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-4.0, 'radiative', 'hardy')",910,L0,"(-4.0, 'radiative', 'hardy')",910,0.6343,REV,AEX,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-4.0, 'radiative', 'hardy')",910,L1,"(-4.0, 'radiative', 'hardy')",1842,0.6076,REV,AEX,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-4.0, 'radiative', 'hardy')",910,L2,"(-4.0, 'radiative-hardy')",1842,0.6076,REV,AEX,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-4.0, 'radiative', 'hardy')",910,L3,"(-4.0,)",7606,0.6099,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(4.0, 'radiative', 'hardy')",230,L0,"(4.0, 'radiative', 'hardy')",230,0.0,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(4.0, 'radiative', 'hardy')",230,L1,"(4.0, 'radiative', 'hardy')",499,0.0,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(4.0, 'radiative', 'hardy')",230,L2,"(4.0, 'radiative-hardy')",499,0.0,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(4.0, 'radiative', 'hardy')",230,L3,"(4.0,)",2068,0.0,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(4.0, 'advective', 'vulnerable')",243,L0,"(4.0, 'advective', 'vulnerable')",243,0.0,REV,AEX,AEX,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(4.0, 'advective', 'vulnerable')",243,L1,"(4.0, 'advective', 'vulnerable')",512,0.0,REV,AEX,AEX,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(4.0, 'advective', 'vulnerable')",243,L2,"(4.0, 'advective-vulnerable')",512,0.0,REV,AEX,AEX,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(4.0, 'advective', 'vulnerable')",243,L3,"(4.0,)",2068,0.0,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(5.0, 'radiative', 'hardy')",92,L0,"(5.0, 'radiative', 'hardy')",92,0.0,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(5.0, 'radiative', 'hardy')",92,L1,"(4.0, 'radiative', 'hardy')",499,0.0,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(5.0, 'radiative', 'hardy')",92,L2,"(4.0, 'radiative-hardy')",499,0.0,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(5.0, 'radiative', 'hardy')",92,L3,"(4.0,)",2068,0.0,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-5.0, 'radiative', 'vulnerable')",754,L0,"(-5.0, 'radiative', 'vulnerable')",754,0.8245,REV,REV,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(-5.0, 'radiative', 'vulnerable')",754,L1,"(-6.0, 'radiative', 'vulnerable')",900,0.9154,REV,REV,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(-5.0, 'radiative', 'vulnerable')",754,L2,"(-6.0, 'radiative-vulnerable')",900,0.9154,REV,REV,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(-5.0, 'radiative', 'vulnerable')",754,L3,"(-6.0,)",2839,0.9149,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(5.0, 'radiative', 'vulnerable')",122,L0,"(5.0, 'radiative', 'vulnerable')",122,0.0,REV,AEX,AEX,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(5.0, 'radiative', 'vulnerable')",122,L1,"(4.0, 'radiative', 'vulnerable')",629,0.0,REV,AEX,AEX,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(5.0, 'radiative', 'vulnerable')",122,L2,"(4.0, 'radiative-vulnerable')",629,0.0,REV,AEX,AEX,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(5.0, 'radiative', 'vulnerable')",122,L3,"(4.0,)",2068,0.0,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-5.0, 'radiative', 'hardy')",574,L0,"(-5.0, 'radiative', 'hardy')",574,0.8244,REV,AEX,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-5.0, 'radiative', 'hardy')",574,L1,"(-6.0, 'radiative', 'hardy')",669,0.9174,REV,AEX,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-5.0, 'radiative', 'hardy')",574,L2,"(-6.0, 'radiative-hardy')",669,0.9174,REV,AEX,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-5.0, 'radiative', 'hardy')",574,L3,"(-6.0,)",2839,0.9149,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-8.0, 'radiative', 'vulnerable')",105,L0,"(-8.0, 'radiative', 'vulnerable')",105,0.9963,AEX,REV,REV,AEX,AEX,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(-8.0, 'radiative', 'vulnerable')",105,L1,"(-8.0, 'radiative', 'vulnerable')",219,0.9941,REV,REV,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(-8.0, 'radiative', 'vulnerable')",105,L2,"(-8.0, 'radiative-vulnerable')",219,0.9941,REV,REV,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(-8.0, 'radiative', 'vulnerable')",105,L3,"(-8.0,)",733,0.9938,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-5.0, 'advective', 'vulnerable')",597,L0,"(-5.0, 'advective', 'vulnerable')",597,0.8233,REV,AEX,AEX,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-5.0, 'advective', 'vulnerable')",597,L1,"(-4.0, 'advective', 'vulnerable')",1940,0.6086,REV,AEX,AEX,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-5.0, 'advective', 'vulnerable')",597,L2,"(-4.0, 'advective-vulnerable')",1940,0.6086,REV,AEX,AEX,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-5.0, 'advective', 'vulnerable')",597,L3,"(-4.0,)",7606,0.6099,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-7.0, 'radiative', 'vulnerable')",228,L0,"(-7.0, 'radiative', 'vulnerable')",228,0.9816,REV,REV,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(-7.0, 'radiative', 'vulnerable')",228,L1,"(-6.0, 'radiative', 'vulnerable')",900,0.9154,REV,REV,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(-7.0, 'radiative', 'vulnerable')",228,L2,"(-6.0, 'radiative-vulnerable')",900,0.9154,REV,REV,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(-7.0, 'radiative', 'vulnerable')",228,L3,"(-6.0,)",2839,0.9149,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(5.0, 'advective', 'hardy')",81,L0,"(5.0, 'advective', 'hardy')",81,0.0,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(5.0, 'advective', 'hardy')",81,L1,"(4.0, 'advective', 'hardy')",428,0.0,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(5.0, 'advective', 'hardy')",81,L2,"(4.0, 'advective-hardy')",428,0.0,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(5.0, 'advective', 'hardy')",81,L3,"(4.0,)",2068,0.0,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-6.0, 'advective', 'hardy')",259,L0,"(-6.0, 'advective', 'hardy')",259,0.9349,REV,ALR,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-6.0, 'advective', 'hardy')",259,L1,"(-6.0, 'advective', 'hardy')",568,0.9124,REV,ALR,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-6.0, 'advective', 'hardy')",259,L2,"(-6.0, 'advective-hardy')",568,0.9124,REV,ALR,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-6.0, 'advective', 'hardy')",259,L3,"(-6.0,)",2839,0.9149,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-7.0, 'radiative', 'hardy')",206,L0,"(-7.0, 'radiative', 'hardy')",206,0.982,REV,AEX,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-7.0, 'radiative', 'hardy')",206,L1,"(-6.0, 'radiative', 'hardy')",669,0.9174,REV,AEX,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-7.0, 'radiative', 'hardy')",206,L2,"(-6.0, 'radiative-hardy')",669,0.9174,REV,AEX,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-7.0, 'radiative', 'hardy')",206,L3,"(-6.0,)",2839,0.9149,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-8.0, 'advective', 'hardy')",68,L0,"(-8.0, 'advective', 'hardy')",68,0.9962,REV,ALR,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-8.0, 'advective', 'hardy')",68,L1,"(-8.0, 'advective', 'hardy')",146,0.9942,REV,ALR,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-8.0, 'advective', 'hardy')",68,L2,"(-8.0, 'advective-hardy')",146,0.9942,REV,ALR,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-8.0, 'advective', 'hardy')",68,L3,"(-8.0,)",733,0.9938,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-8.0, 'radiative', 'hardy')",75,L0,"(-8.0, 'radiative', 'hardy')",75,0.9966,REV,AEX,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-8.0, 'radiative', 'hardy')",75,L1,"(-8.0, 'radiative', 'hardy')",184,0.9934,REV,AEX,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-8.0, 'radiative', 'hardy')",75,L2,"(-8.0, 'radiative-hardy')",184,0.9934,REV,AEX,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(-8.0, 'radiative', 'hardy')",75,L3,"(-8.0,)",733,0.9938,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(5.0, 'advective', 'vulnerable')",82,L0,"(5.0, 'advective', 'vulnerable')",82,0.0,REV,AEX,AEX,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(5.0, 'advective', 'vulnerable')",82,L1,"(6.0, 'advective', 'vulnerable')",64,0.0,REV,AEX,AEX,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(5.0, 'advective', 'vulnerable')",82,L2,"(6.0, 'advective-vulnerable')",64,0.0,REV,AEX,AEX,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(5.0, 'advective', 'vulnerable')",82,L3,"(6.0,)",244,0.0,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
