L0_fiber,n_worlds_L0,level,enlarged_key,enlarged_fiber_size,p_hat_mean,A_e,honest_compiler,naive_coarse,cost_loss,DRO,Ae_monotone_along_ladder,manufactured_at_L3,cl_strengthens_L0_to_L3,dro_matches_Ae_at_L0,statuses
"(4.0, 'advective', 'hardy')",201,L2,"(4.0, 'advective-hardy')",428,0.0,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(4.0, 'advective', 'hardy')",201,L3,"(4.0,)",2068,0.0,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-1.0, 'advective', 'hardy')",1577,L0,"(-1.0, 'advective', 'hardy')",1577,0.0806,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-1.0, 'advective', 'hardy')",1577,L1,"(0.0, 'advective', 'hardy')",2990,0.03,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-1.0, 'advective', 'hardy')",1577,L2,"(0.0, 'advective-hardy')",2990,0.03,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-1.0, 'advective', 'hardy')",1577,L3,"(0.0,)",14592,0.0296,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-4.0, 'advective', 'hardy')",788,L0,"(-4.0, 'advective', 'hardy')",788,0.635,REV,ALR,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-4.0, 'advective', 'hardy')",788,L1,"(-4.0, 'advective', 'hardy')",1547,0.6127,REV,ALR,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-4.0, 'advective', 'hardy')",788,L2,"(-4.0, 'advective-hardy')",1547,0.6127,REV,ALR,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(-4.0, 'advective', 'hardy')",788,L3,"(-4.0,)",7606,0.6099,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-6.0, 'advective', 'vulnerable')",332,L0,"(-6.0, 'advective', 'vulnerable')",332,0.9357,REV,AEX,AEX,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-6.0, 'advective', 'vulnerable')",332,L1,"(-6.0, 'advective', 'vulnerable')",702,0.9139,REV,AEX,AEX,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-6.0, 'advective', 'vulnerable')",332,L2,"(-6.0, 'advective-vulnerable')",702,0.9139,REV,AEX,AEX,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-6.0, 'advective', 'vulnerable')",332,L3,"(-6.0,)",2839,0.9149,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(3.0, 'advective', 'vulnerable')",506,L0,"(3.0, 'advective', 'vulnerable')",506,0.0001,REV,AEX,AEX,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(3.0, 'advective', 'vulnerable')",506,L1,"(2.0, 'advective', 'vulnerable')",1951,0.0015,REV,AEX,AEX,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(3.0, 'advective', 'vulnerable')",506,L2,"(2.0, 'advective-vulnerable')",1951,0.0015,REV,AEX,AEX,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(3.0, 'advective', 'vulnerable')",506,L3,"(2.0,)",7906,0.0015,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(1.0, 'radiative', 'hardy')",1453,L0,"(1.0, 'radiative', 'hardy')",1453,0.0053,REV,AEX,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(1.0, 'radiative', 'hardy')",1453,L1,"(0.0, 'radiative', 'hardy')",3670,0.0299,REV,AEX,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(1.0, 'radiative', 'hardy')",1453,L2,"(0.0, 'radiative-hardy')",3670,0.0299,REV,AEX,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
"(1.0, 'radiative', 'hardy')",1453,L3,"(0.0,)",14592,0.0296,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-3.0, 'advective', 'vulnerable')",1397,L0,"(-3.0, 'advective', 'vulnerable')",1397,0.4038,REV,AEX,AEX,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-3.0, 'advective', 'vulnerable')",1397,L1,"(-2.0, 'advective', 'vulnerable')",3456,0.2096,REV,AEX,AEX,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-3.0, 'advective', 'vulnerable')",1397,L2,"(-2.0, 'advective-vulnerable')",3456,0.2096,REV,AEX,AEX,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-3.0, 'advective', 'vulnerable')",1397,L3,"(-2.0,)",13871,0.2107,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(0.0, 'advective', 'vulnerable')",1843,L0,"(0.0, 'advective', 'vulnerable')",1843,0.0239,REV,AEX,AEX,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(0.0, 'advective', 'vulnerable')",1843,L1,"(0.0, 'advective', 'vulnerable')",3570,0.0294,REV,AEX,AEX,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(0.0, 'advective', 'vulnerable')",1843,L2,"(0.0, 'advective-vulnerable')",3570,0.0294,REV,AEX,AEX,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(0.0, 'advective', 'vulnerable')",1843,L3,"(0.0,)",14592,0.0296,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(0.0, 'advective', 'hardy')",1507,L0,"(0.0, 'advective', 'hardy')",1507,0.0242,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(0.0, 'advective', 'hardy')",1507,L1,"(0.0, 'advective', 'hardy')",2990,0.03,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(0.0, 'advective', 'hardy')",1507,L2,"(0.0, 'advective-hardy')",2990,0.03,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(0.0, 'advective', 'hardy')",1507,L3,"(0.0,)",14592,0.0296,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-3.0, 'radiative', 'vulnerable')",1640,L0,"(-3.0, 'radiative', 'vulnerable')",1640,0.403,REV,REV,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(-3.0, 'radiative', 'vulnerable')",1640,L1,"(-4.0, 'radiative', 'vulnerable')",2277,0.6111,REV,REV,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(-3.0, 'radiative', 'vulnerable')",1640,L2,"(-4.0, 'radiative-vulnerable')",2277,0.6111,REV,REV,REV,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""open""}"
"(-3.0, 'radiative', 'vulnerable')",1640,L3,"(-4.0,)",7606,0.6099,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(0.0, 'radiative', 'hardy')",1865,L0,"(0.0, 'radiative', 'hardy')",1865,0.0239,REV,AEX,REV,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""open"", ""vulnerability_gap"": ""closed""}"
