fiber,t_min_bin,regime,pheno_band,n_worlds,p_hat,heterogeneity_std_L,c_over_l_bar,L_bar,A_e,cost_loss,DRO,pin_t_min,pin_L_real,pin_phenology,pin_regime,divergence_cl_acts_Ae_doesnt
"(-7.0, 'radiative', 'vulnerable')",-7.0,radiative,vulnerable,200,0.9823,0.2417,0.2,0.5,REV,AEX,REV,-2.41,0.0,budbreak,radiative,1
"(-7.0, 'radiative', 'vulnerable')",-7.0,radiative,vulnerable,200,0.9823,0.2417,0.5,0.2,REV,AEX,REV,-2.41,0.0,budbreak,radiative,1
"(-7.0, 'advective', 'hardy')",-7.0,advective,hardy,140,0.9825,0.0151,0.05,2.0,REV,AEX,REV,-3.38,0.0003,dormant,advective,1
"(-7.0, 'advective', 'hardy')",-7.0,advective,hardy,140,0.9825,0.0151,0.1,1.0,REV,AEX,REV,-3.38,0.0003,dormant,advective,1
"(-7.0, 'advective', 'hardy')",-7.0,advective,hardy,140,0.9825,0.0151,0.2,0.5,REV,AEX,REV,-3.38,0.0003,dormant,advective,1
"(-7.0, 'advective', 'hardy')",-7.0,advective,hardy,140,0.9825,0.0151,0.5,0.2,REV,AEX,REV,-3.38,0.0003,dormant,advective,1
"(-6.0, 'advective', 'hardy')",-6.0,advective,hardy,278,0.9331,0.0162,0.05,2.0,REV,AEX,REV,-4.33,0.0005,dormant,advective,1
"(-6.0, 'advective', 'hardy')",-6.0,advective,hardy,278,0.9331,0.0162,0.1,1.0,REV,AEX,REV,-4.33,0.0005,dormant,advective,1
"(-6.0, 'advective', 'hardy')",-6.0,advective,hardy,278,0.9331,0.0162,0.2,0.5,REV,AEX,REV,-4.33,0.0005,dormant,advective,1
"(-6.0, 'advective', 'hardy')",-6.0,advective,hardy,278,0.9331,0.0162,0.5,0.2,REV,AEX,REV,-4.33,0.0005,dormant,advective,1
"(-4.0, 'advective', 'hardy')",-4.0,advective,hardy,753,0.6324,0.0112,0.05,2.0,REV,AEX,REV,-3.21,0.0004,dormant,advective,1
"(-4.0, 'advective', 'hardy')",-4.0,advective,hardy,753,0.6324,0.0112,0.1,1.0,REV,AEX,REV,-3.21,0.0004,dormant,advective,1
"(-4.0, 'advective', 'hardy')",-4.0,advective,hardy,753,0.6324,0.0112,0.2,0.5,REV,AEX,REV,-3.21,0.0004,dormant,advective,1
"(-4.0, 'advective', 'hardy')",-4.0,advective,hardy,753,0.6324,0.0112,0.5,0.2,REV,AEX,REV,-3.21,0.0004,dormant,advective,1
"(-2.0, 'advective', 'hardy')",-2.0,advective,hardy,1396,0.2061,0.0068,0.05,2.0,REV,AEX,REV,-4.84,0.0004,dormant,advective,1
