fiber,t_min_bin,regime,pheno_band,n_worlds,p_hat,heterogeneity_std_L,c_over_l_bar,L_bar,A_e,cost_loss,DRO,pin_t_min,pin_L_real,pin_phenology,pin_regime,divergence_cl_acts_Ae_doesnt
"(5.0, 'advective', 'hardy')",5.0,advective,hardy,69,0.0,0.0,0.2,0.5,REV,REV,REV,1.33,0.0,swollen,advective,0
"(5.0, 'advective', 'hardy')",5.0,advective,hardy,69,0.0,0.0,0.5,0.2,REV,REV,REV,1.33,0.0,swollen,advective,0
"(-8.0, 'advective', 'hardy')",-8.0,advective,hardy,67,0.9961,0.0296,0.05,2.0,REV,AEX,REV,-6.84,0.0197,swollen,advective,1
"(-8.0, 'advective', 'hardy')",-8.0,advective,hardy,67,0.9961,0.0296,0.1,1.0,REV,AEX,REV,-6.84,0.0197,swollen,advective,1
"(-8.0, 'advective', 'hardy')",-8.0,advective,hardy,67,0.9961,0.0296,0.2,0.5,REV,AEX,REV,-6.84,0.0197,swollen,advective,1
"(-8.0, 'advective', 'hardy')",-8.0,advective,hardy,67,0.9961,0.0296,0.5,0.2,REV,AEX,REV,-6.84,0.0197,swollen,advective,1
"(5.0, 'radiative', 'vulnerable')",5.0,radiative,vulnerable,103,0.0,0.0,0.05,2.0,REV,REV,REV,3.49,0.0,budbreak,radiative,0
"(5.0, 'radiative', 'vulnerable')",5.0,radiative,vulnerable,103,0.0,0.0,0.1,1.0,REV,REV,REV,3.49,0.0,budbreak,radiative,0
"(5.0, 'radiative', 'vulnerable')",5.0,radiative,vulnerable,103,0.0,0.0,0.2,0.5,REV,REV,REV,3.49,0.0,budbreak,radiative,0
"(5.0, 'radiative', 'vulnerable')",5.0,radiative,vulnerable,103,0.0,0.0,0.5,0.2,REV,REV,REV,3.49,0.0,budbreak,radiative,0
